playerid,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC,fixture_id
1,Tim Taranto,18,14,32,3,0,2,8,0,0,4,5,8,3,1,1,123,103,1
2,Daniel Rioli,17,10,27,7,0,0,4,0,1,5,0,2,5,0,0,108,126,1
3,Dustin Martin,15,8,23,6,1,0,0,0,1,8,1,5,1,0,3,76,84,1
4,Dion Prestia,10,13,23,4,0,1,1,0,0,2,5,3,1,1,1,71,72,1
5,Jack Graham,11,9,20,1,0,2,9,0,0,5,2,6,0,3,2,89,87,1
6,Trent Cotchin,9,9,18,3,0,0,3,0,0,3,4,5,3,0,3,57,69,1
7,Jacob Hopper,12,6,18,3,0,0,3,0,1,6,1,3,1,2,0,71,67,1
8,Shai Bolton,15,3,18,6,1,1,4,0,1,7,3,5,0,2,2,88,76,1
9,Kamdyn Mcintosh,11,6,17,5,0,0,3,0,1,3,1,2,2,0,1,69,73,1
10,Jayden Short,15,2,17,6,0,0,3,0,1,4,1,0,4,0,0,79,79,1
11,Liam Baker,10,5,15,5,0,0,1,0,0,1,0,2,2,2,2,55,63,1
12,Toby Nankervis,8,6,14,1,0,0,11,37,0,1,5,5,1,2,2,116,112,1
13,Nathan Broad,11,2,13,7,0,0,3,0,0,2,1,2,2,0,0,70,66,1
14,Jack Riewoldt,9,3,12,6,1,0,5,1,0,4,1,3,0,1,1,76,89,1
15,Dylan Grimes,8,4,12,5,0,0,2,0,0,0,0,0,1,0,0,55,77,1
16,Nick Vlastuin,9,2,11,4,0,1,2,0,0,2,0,0,2,1,0,53,57,1
17,Maurice Rioli,7,4,11,2,2,0,3,0,0,2,1,3,0,1,1,57,59,1
18,Tom Lynch,9,1,10,6,3,3,0,1,0,1,2,3,0,0,2,63,93,1
19,Marlion Pickett↗,4,6,10,2,0,0,2,0,0,2,0,4,1,1,3,30,43,1
20,Ben Miller,5,4,9,4,0,0,1,5,0,1,3,1,1,1,0,45,71,1
21,Noah Balta,6,2,8,3,0,0,1,0,0,1,0,2,4,0,0,35,37,1
22,Rhyan Mansell,5,2,7,4,0,0,1,0,0,2,0,2,0,0,1,32,29,1
23,Jack Ross↙,4,0,4,2,0,0,0,0,0,0,0,1,1,1,0,19,17,1
24,George Hewett,10,18,28,5,0,0,4,0,0,2,8,3,3,2,0,99,89,1
25,Sam Docherty,23,2,25,8,1,0,2,0,0,2,1,3,6,2,1,110,108,1
26,Patrick Cripps,9,16,25,2,0,1,6,0,0,2,7,3,2,0,2,84,121,1
27,Matthew Kennedy,13,9,22,5,0,1,5,0,0,5,4,1,3,1,1,91,96,1
28,Mitch McGovern,17,4,21,7,0,0,4,0,0,3,1,4,8,0,1,93,106,1
29,Adam Cerra,14,7,21,6,0,0,3,0,1,3,2,3,1,3,0,89,100,1
30,Jacob Weitering,17,3,20,11,0,0,1,0,0,1,0,2,10,1,0,95,120,1
31,Lewis Young,14,6,20,8,0,0,1,0,0,1,1,3,3,1,1,80,79,1
32,Adam Saad,13,5,18,3,0,0,2,0,0,1,0,2,7,2,2,62,115,1
33,Blake Acres,10,6,16,5,0,0,2,0,0,2,0,5,2,2,2,61,62,1
34,Edward Curnow,12,2,14,6,0,0,4,0,2,4,1,3,1,0,0,74,62,1
35,Nic Newman,9,5,14,5,0,0,2,0,0,0,0,0,5,1,0,61,76,1
36,Harry McKay,11,2,13,10,1,2,1,0,1,6,0,4,0,0,1,76,60,1
37,Tom De Koning,7,6,13,2,0,1,3,24,0,1,3,3,1,3,1,76,88,1
38,Oliver Hollands,5,6,11,2,0,1,3,0,0,0,2,2,3,1,1,44,56,1
39,Charlie Curnow,8,2,10,1,3,0,1,0,0,4,0,4,0,0,1,50,62,1
40,Matt Owies,5,5,10,1,1,1,2,0,0,1,0,4,0,1,2,38,33,1
41,Jesse Motlop,5,5,10,4,0,0,2,0,0,2,0,3,0,1,1,43,29,1
42,Zac Fisher,5,2,7,1,1,0,0,0,0,0,1,0,0,0,0,28,31,1
43,Lachlan Cowan↗,6,1,7,2,0,0,2,0,0,1,0,2,1,1,0,35,38,1
44,Jack Martin,3,3,6,1,0,1,3,0,0,2,0,0,0,1,0,32,40,1
45,Jack Silvagni,2,3,5,2,1,0,2,2,0,1,1,3,0,1,2,29,45,1
46,Lochie O'Brien↙,3,1,4,0,0,0,0,0,0,1,0,0,1,1,0,12,30,1
47,Patrick Dangerfield,9,13,22,3,1,0,1,0,0,2,6,10,0,0,2,66,61,2
48,Isaac Smith,19,2,21,6,1,0,2,0,1,8,1,2,6,1,1,91,105,2
49,Tom Atkins,9,12,21,0,1,0,4,0,0,2,5,2,2,3,2,70,98,2
50,Gryan Miers,7,12,19,5,0,2,0,0,3,1,1,6,0,2,3,55,56,2
51,Zach Tuohy,13,5,18,4,2,0,0,0,0,0,0,5,9,0,1,70,71,2
52,Tyson Stengle,10,7,17,3,2,0,1,0,1,3,1,2,0,0,1,66,70,2
53,Tanner Bruhn,9,8,17,2,0,0,4,0,1,2,3,3,1,0,0,65,58,2
54,Max Holmes,10,7,17,1,1,0,4,0,0,3,2,2,1,1,0,70,76,2
55,Rhys Stanley,10,6,16,1,0,0,2,29,0,3,2,7,4,2,3,75,70,2
56,Jeremy Cameron,16,0,16,8,2,1,0,0,1,7,2,1,0,0,0,85,80,2
57,Cameron Guthrie,10,5,15,1,0,0,4,0,0,2,3,3,2,1,2,54,64,2
58,Mark O'Connor,8,7,15,3,0,0,4,0,0,0,0,0,4,2,0,65,89,2
59,Oliver Henry,8,7,15,6,2,0,2,0,0,0,2,2,1,4,1,77,82,2
60,Mark Blicavs,5,8,13,2,0,0,5,5,0,3,5,3,0,2,2,58,69,2
61,Zach Guthrie,8,4,12,7,0,0,2,0,0,2,0,0,3,0,0,61,61,2
62,Tom Hawkins,6,5,11,4,2,2,0,4,2,1,0,2,0,1,0,59,75,2
63,Jed Bews,6,5,11,2,0,0,1,0,0,1,0,0,2,0,0,38,47,2
64,Bradley Close,5,5,10,2,0,2,4,0,0,2,2,1,0,1,0,50,46,2
65,Gary Rohan,5,3,8,5,2,0,1,0,0,3,0,3,0,0,2,46,51,2
66,Sam De Koning,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,16,37,2
67,Esava Ratugolea,4,2,6,4,0,0,0,0,0,0,0,4,5,0,3,19,55,2
68,Brandan Parfitt↙,0,5,5,0,0,0,2,0,0,1,2,2,0,0,1,15,17,2
69,Thomas Stewart↗,3,0,3,0,0,0,1,0,0,0,0,0,3,1,0,14,18,2
70,Nick Daicos,21,14,35,7,0,0,0,0,1,5,3,2,3,2,0,114,129,2
71,John Noble,23,6,29,7,0,0,1,0,2,5,0,4,6,2,1,105,105,2
72,Scott Pendlebury,13,14,27,4,1,0,8,0,1,2,4,1,0,1,0,118,129,2
73,Josh Daicos,16,11,27,3,0,0,3,0,0,6,5,0,5,0,0,91,121,2
74,Jordan De Goey,12,13,25,8,3,0,2,0,3,6,5,3,0,1,0,113,130,2
75,Jack Crisp,11,11,22,4,0,1,4,0,1,4,3,3,1,0,1,81,90,2
76,Tom Mitchell,9,12,21,3,2,0,4,0,0,2,10,2,0,2,2,84,109,2
77,Beau McCreery,13,7,20,5,2,0,1,0,2,5,1,1,0,0,1,81,108,2
78,Steele Sidebottom,8,11,19,5,0,0,4,0,1,3,2,4,0,0,2,71,84,2
79,Brayden Maynard,13,6,19,7,0,0,2,0,1,2,0,4,1,1,2,75,82,2
80,Will H-Elliott,12,6,18,5,0,0,2,0,0,2,3,6,2,1,0,72,55,2
81,Taylor Adams,8,8,16,3,1,1,3,0,3,4,3,5,0,0,2,62,68,2
82,Jamie Elliott,8,5,13,6,0,2,1,0,0,2,0,2,1,0,0,58,35,2
83,Darcy Moore,12,1,13,5,0,0,1,0,0,2,0,4,5,2,0,59,92,2
84,Darcy Cameron,8,3,11,4,0,1,2,29,0,0,3,4,0,4,3,75,103,2
85,Bobby Hill,8,2,10,7,3,0,3,0,1,5,1,1,0,2,0,81,77,2
86,Brody Mihocek,6,3,9,5,2,1,2,0,0,2,0,3,0,2,1,59,45,2
87,Jeremy Howe↗,6,2,8,3,0,0,0,0,0,1,0,0,2,0,0,31,38,2
88,Isaac Quaynor,4,4,8,2,0,0,4,0,0,0,0,3,1,1,2,37,37,2
89,Daniel McStay,4,2,6,3,1,1,2,0,0,0,0,0,0,1,0,41,41,2
90,Mason Cox,6,0,6,5,2,0,1,16,1,4,1,2,0,0,2,59,69,2
91,Nathan Murphy,5,1,6,3,0,0,0,0,0,0,0,2,2,1,2,21,37,2
92,Reef McInnes↙,3,1,4,1,2,1,2,0,1,0,0,0,0,1,0,36,61,2
93,Harry Sheezel,22,12,34,9,0,0,0,0,1,4,1,5,8,1,0,118,114,3
94,Luke D-Uniacke,12,20,32,1,1,1,5,0,1,7,10,1,0,2,0,108,143,3
95,Jack Ziebell,22,4,26,9,0,0,2,0,0,4,0,0,6,0,0,109,102,3
96,Jy Simpkin,13,12,25,3,0,0,5,0,0,3,7,6,2,3,3,86,88,3
97,Tom Powell,8,16,24,3,0,1,4,0,0,4,4,6,0,0,3,73,72,3
98,Luke McDonald,15,7,22,5,0,0,6,0,0,1,0,5,5,2,4,88,110,3
99,Liam Shiels,9,10,19,3,0,1,4,0,0,2,1,4,1,1,2,68,56,3
100,Bailey Scott,10,7,17,5,0,1,4,0,1,3,1,2,1,0,0,76,69,3
101,Curtis Taylor,12,5,17,6,0,1,3,0,0,2,1,3,1,0,0,77,59,3
