playerid,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC,fixture_id
1,Patrick Dangerfield,9,13,22,3,1,0,1,0,0,2,6,10,0,0,2,66,61,2
2,Isaac Smith,19,2,21,6,1,0,2,0,1,8,1,2,6,1,1,91,105,2
3,Tom Atkins,9,12,21,0,1,0,4,0,0,2,5,2,2,3,2,70,98,2
4,Gryan Miers,7,12,19,5,0,2,0,0,3,1,1,6,0,2,3,55,56,2
5,Zach Tuohy,13,5,18,4,2,0,0,0,0,0,0,5,9,0,1,70,71,2
6,Tyson Stengle,10,7,17,3,2,0,1,0,1,3,1,2,0,0,1,66,70,2
7,Tanner Bruhn,9,8,17,2,0,0,4,0,1,2,3,3,1,0,0,65,58,2
8,Max Holmes,10,7,17,1,1,0,4,0,0,3,2,2,1,1,0,70,76,2
9,Rhys Stanley,10,6,16,1,0,0,2,29,0,3,2,7,4,2,3,75,70,2
10,Jeremy Cameron,16,0,16,8,2,1,0,0,1,7,2,1,0,0,0,85,80,2
11,Cameron Guthrie,10,5,15,1,0,0,4,0,0,2,3,3,2,1,2,54,64,2
12,Mark O'Connor,8,7,15,3,0,0,4,0,0,0,0,0,4,2,0,65,89,2
13,Oliver Henry,8,7,15,6,2,0,2,0,0,0,2,2,1,4,1,77,82,2
14,Mark Blicavs,5,8,13,2,0,0,5,5,0,3,5,3,0,2,2,58,69,2
15,Zach Guthrie,8,4,12,7,0,0,2,0,0,2,0,0,3,0,0,61,61,2
16,Tom Hawkins,6,5,11,4,2,2,0,4,2,1,0,2,0,1,0,59,75,2
17,Jed Bews,6,5,11,2,0,0,1,0,0,1,0,0,2,0,0,38,47,2
18,Bradley Close,5,5,10,2,0,2,4,0,0,2,2,1,0,1,0,50,46,2
19,Gary Rohan,5,3,8,5,2,0,1,0,0,3,0,3,0,0,2,46,51,2
20,Sam De Koning,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,16,37,2
21,Esava Ratugolea,4,2,6,4,0,0,0,0,0,0,0,4,5,0,3,19,55,2
22,Brandan Parfitt↙,0,5,5,0,0,0,2,0,0,1,2,2,0,0,1,15,17,2
23,Thomas Stewart↗,3,0,3,0,0,0,1,0,0,0,0,0,3,1,0,14,18,2
24,Nick Daicos,21,14,35,7,0,0,0,0,1,5,3,2,3,2,0,114,129,2
25,John Noble,23,6,29,7,0,0,1,0,2,5,0,4,6,2,1,105,105,2
26,Scott Pendlebury,13,14,27,4,1,0,8,0,1,2,4,1,0,1,0,118,129,2
